#Omega_m                 Omega_b                  h                        n_s                      sigma_8
1.755000000000000171e-01 6.681000000000000827e-02 7.737000000000000544e-01 8.849000000000000199e-01 6.641000000000000236e-01
2.139000000000000346e-01 5.557000000000000828e-02 8.599000000000001087e-01 9.785000000000000364e-01 8.618999999999998884e-01
1.867000000000000048e-01 4.503000000000000058e-02 6.189000000000000057e-01 8.306999999999999940e-01 7.187000000000000055e-01
3.271000000000000019e-01 6.875000000000000555e-02 6.312999999999999723e-01 8.135000000000000009e-01 8.938999999999999169e-01
1.433000000000000107e-01 6.346999999999999864e-02 6.127000000000000224e-01 1.150100000000000122e+00 7.699000000000000288e-01
4.813000000000000611e-01 5.637000000000000344e-02 5.331000000000000183e-01 9.041000000000000147e-01 9.289000000000000590e-01
4.149000000000000465e-01 4.538999999999999979e-02 5.761000000000000565e-01 9.910999999999999810e-01 6.282999999999999696e-01
2.423000000000000154e-01 6.275000000000000022e-02 5.675000000000000044e-01 8.305000000000000160e-01 7.145000000000000240e-01
3.215000000000000080e-01 5.487000000000000210e-02 6.429000000000000270e-01 1.053099999999999925e+00 7.509000000000000119e-01
4.197000000000000730e-01 5.329000000000000403e-02 5.264999999999999680e-01 9.665000000000000258e-01 6.232999999999999652e-01
1.821000000000000119e-01 4.809000000000000774e-02 5.865000000000000213e-01 9.565000000000000169e-01 8.101000000000000423e-01
4.195000000000000950e-01 4.627000000000000557e-02 7.635000000000000675e-01 1.041500000000000092e+00 8.046999999999999709e-01
1.381000000000000005e-01 5.945000000000000284e-02 5.938999999999999835e-01 1.035299999999999887e+00 8.967000000000000526e-01
2.964999999999999858e-01 4.882999999999999841e-02 7.613000000000000878e-01 9.024999999999999689e-01 9.440999999999999392e-01
1.327000000000000124e-01 3.307000000000000217e-02 7.338999999999999968e-01 1.141299999999999981e+00 6.187000000000000277e-01
4.791000000000000814e-01 6.759000000000001118e-02 8.131000000000000449e-01 9.573000000000000398e-01 7.390999999999999792e-01
2.849000000000000421e-01 5.533000000000000418e-02 5.883000000000000451e-01 9.702999999999999403e-01 9.862999999999999545e-01
2.475000000000000255e-01 4.436999999999999972e-02 7.861000000000000210e-01 9.406999999999999806e-01 7.410999999999999810e-01
1.131000000000000061e-01 5.834999999999999909e-02 6.561000000000000165e-01 9.526999999999999913e-01 8.183000000000000274e-01
4.751000000000000778e-01 6.443000000000001504e-02 7.669000000000000261e-01 1.137499999999999956e+00 9.131000000000000227e-01
3.959000000000000297e-01 3.695000000000000367e-02 5.009000000000000119e-01 1.009300000000000086e+00 9.751000000000000778e-01
1.767000000000000237e-01 5.956999999999999795e-02 6.472999999999999865e-01 9.518999999999999684e-01 9.036999999999999478e-01
1.251000000000000167e-01 6.929000000000001824e-02 6.596999999999999531e-01 8.517000000000000126e-01 8.088999999999999524e-01
1.551000000000000156e-01 4.721000000000000196e-02 8.879000000000000226e-01 9.331000000000000405e-01 9.116999999999999549e-01
3.924999999999999600e-01 3.624999999999999750e-02 5.513000000000000123e-01 9.808999999999999941e-01 7.974999999999999867e-01
2.432999999999999885e-01 5.777000000000000191e-02 5.645000000000000018e-01 1.199699999999999989e+00 9.236999999999999655e-01
2.205000000000000293e-01 5.983000000000000818e-02 8.213000000000000300e-01 9.389000000000000679e-01 7.497000000000000330e-01
3.408999999999999808e-01 4.687000000000000194e-02 5.856999999999999984e-01 9.135000000000000897e-01 6.376999999999999336e-01
4.035000000000000808e-01 6.697000000000000175e-02 6.654999999999999805e-01 1.168099999999999916e+00 7.842999999999999972e-01
4.092999999999999972e-01 5.041000000000001036e-02 8.465000000000000302e-01 8.309000000000000830e-01 9.793000000000000593e-01
1.931000000000000216e-01 6.181000000000000383e-02 8.336999999999999966e-01 1.057900000000000063e+00 6.262999999999999678e-01
4.082999999999999963e-01 3.346999999999999975e-02 6.471000000000000085e-01 1.183499999999999996e+00 9.960999999999999854e-01
3.211000000000000520e-01 6.893000000000000516e-02 5.042999999999999705e-01 8.627000000000000224e-01 9.241000000000000325e-01
3.507000000000000117e-01 4.682999999999999663e-02 8.961000000000001187e-01 1.028899999999999926e+00 9.049000000000000377e-01
2.310999999999999999e-01 5.531000000000000499e-02 8.568999999999999950e-01 8.659000000000000030e-01 8.640999999999999792e-01
1.728999999999999981e-01 5.025000000000000300e-02 5.324999999999999734e-01 9.745000000000000329e-01 9.405000000000000027e-01
3.779000000000000137e-01 4.379000000000000253e-02 7.924999999999999822e-01 9.955000000000000515e-01 7.874999999999999778e-01
4.655000000000000249e-01 6.045000000000000373e-02 6.012999999999999456e-01 1.143699999999999939e+00 7.933000000000000052e-01
3.889000000000000234e-01 3.626999999999999669e-02 6.274999999999999467e-01 9.513000000000000345e-01 9.136999999999999567e-01
3.363000000000000433e-01 4.132999999999999868e-02 8.692999999999999616e-01 1.086899999999999977e+00 9.593000000000000416e-01
4.275000000000001021e-01 4.703000000000000236e-02 5.823000000000000398e-01 1.104300000000000059e+00 9.403000000000000247e-01
3.747000000000000330e-01 5.499000000000000415e-02 5.584999999999999964e-01 1.100700000000000012e+00 9.293000000000000149e-01
1.315000000000000058e-01 5.027000000000000912e-02 5.606999999999999762e-01 1.030899999999999928e+00 8.747000000000000330e-01
1.748999999999999999e-01 4.750999999999999668e-02 8.931000000000000050e-01 1.008899999999999908e+00 8.759000000000000119e-01
3.613000000000000655e-01 3.908999999999999975e-02 8.951000000000000068e-01 9.393000000000000238e-01 8.378999999999999782e-01
2.115000000000000213e-01 6.065000000000000946e-02 8.225000000000000089e-01 9.273000000000000131e-01 8.086999999999999744e-01
4.435000000000000053e-01 4.551000000000000184e-02 8.487000000000000099e-01 8.725000000000000533e-01 7.350999999999999757e-01
2.791000000000000147e-01 4.967000000000000581e-02 5.755000000000000115e-01 9.600999999999999535e-01 7.954999999999999849e-01
4.705000000000000293e-01 6.865000000000001656e-02 7.573000000000000842e-01 9.833000000000000629e-01 6.703000000000000069e-01
3.915000000000000702e-01 5.877000000000000279e-02 6.240999999999999881e-01 9.762999999999999456e-01 7.073000000000000398e-01
2.053000000000000103e-01 5.387000000000000122e-02 8.221000000000000529e-01 8.977000000000000535e-01 8.727000000000000313e-01
3.485000000000000320e-01 5.107000000000000428e-02 7.283000000000000584e-01 1.118700000000000028e+00 7.655000000000000693e-01
4.267000000000000792e-01 4.623000000000000720e-02 6.405000000000000693e-01 9.515000000000000124e-01 9.418999999999999595e-01
2.917000000000000703e-01 6.289000000000000146e-02 7.935000000000000941e-01 8.467000000000000082e-01 8.458999999999999853e-01
2.189000000000000112e-01 4.859000000000000125e-02 8.157000000000000917e-01 8.663000000000000700e-01 8.598999999999999977e-01
1.765000000000000180e-01 5.934999999999999998e-02 7.871000000000000218e-01 1.199899999999999967e+00 9.797000000000000153e-01
4.254999999999999893e-01 6.925000000000000600e-02 7.373000000000000664e-01 1.138100000000000112e+00 8.501000000000000778e-01
3.700999999999999845e-01 3.554999999999999827e-02 8.954999999999999627e-01 1.155100000000000016e+00 7.131000000000000671e-01
2.449000000000000066e-01 4.145000000000000073e-02 6.362999999999999767e-01 1.072300000000000031e+00 8.665000000000000480e-01
2.641000000000000014e-01 4.791000000000000120e-02 7.859000000000000430e-01 1.113699999999999912e+00 9.014999999999999680e-01
2.814999999999999725e-01 3.729000000000000370e-02 7.001000000000000556e-01 9.263000000000000123e-01 9.461000000000000520e-01
4.126999999999999558e-01 3.965000000000000469e-02 7.769000000000000350e-01 8.043000000000000149e-01 8.627000000000000224e-01
4.219000000000000528e-01 6.909000000000001251e-02 7.133000000000000451e-01 8.493000000000000549e-01 9.451000000000000512e-01
