#f_NL_equilateral Omega_m h n_s sigma_8
201.00000 0.33300 0.59660 1.07260 0.71100
-76.20000 0.28140 0.60500 0.85020 0.94300
-411.00000 0.14780 0.59580 1.08380 0.61860
-189.00000 0.33500 0.85340 0.80500 0.94420
575.40000 0.49420 0.57180 1.19420 0.80900
-599.40000 0.27900 0.55740 1.15780 0.83140
588.60000 0.13460 0.69420 1.18500 0.65340
-305.40000 0.24140 0.79020 0.92980 0.81500
285.00000 0.32940 0.53420 0.92500 0.97100
-529.80000 0.37820 0.68940 1.19580 0.64140
370.20000 0.49780 0.68620 1.10540 0.95620
-545.40000 0.40100 0.82300 1.05180 0.88420
40.20000 0.35060 0.64940 1.01060 0.88660
237.00000 0.40300 0.66060 1.14820 0.78780
94.20000 0.13980 0.82620 0.97060 0.83420
-31.80000 0.13220 0.81900 1.05860 0.82460
-91.80000 0.26060 0.57460 1.10700 0.66460
-178.20000 0.15980 0.60020 1.08180 0.64820
493.80000 0.25900 0.66180 1.01180 0.95020
-322.20000 0.49100 0.76740 0.86900 0.73940
-511.80000 0.42340 0.79380 1.11300 0.65260
-472.20000 0.17420 0.59980 1.00220 0.96980
-101.40000 0.33860 0.62620 1.08500 0.96340
257.40000 0.43220 0.56740 0.88060 0.94780
343.80000 0.18020 0.52060 1.02340 0.82180
-460.20000 0.27580 0.83740 0.82260 0.99740
-535.80000 0.14380 0.81380 1.13020 0.86220
444.60000 0.23140 0.67740 0.88900 0.76460
148.20000 0.40700 0.85100 1.00140 0.68980
103.80000 0.24180 0.84340 0.81540 0.78180
-481.80000 0.42780 0.77340 1.06420 0.75980
25.80000 0.35620 0.65580 0.84740 0.73380
-273.00000 0.38420 0.82740 1.03260 0.91140
118.20000 0.41140 0.57140 0.83540 0.82660
-288.60000 0.14540 0.50700 1.00460 0.70940
187.80000 0.10900 0.80980 0.84220 0.70140
-319.80000 0.45420 0.88380 0.97180 0.80740
-282.60000 0.24860 0.52180 0.90700 0.77460
589.80000 0.45020 0.85620 0.88180 0.69540
-144.60000 0.24660 0.84660 1.11780 0.74460
438.60000 0.15420 0.52860 1.08060 0.71740
244.20000 0.48100 0.77940 0.97500 0.93860
121.80000 0.36860 0.61700 0.90060 0.70500
-58.20000 0.25460 0.52260 0.85340 0.85860
-185.40000 0.18300 0.84540 0.80460 0.74180
-538.20000 0.26580 0.64540 0.80700 0.93540
-5.40000 0.39820 0.56900 0.90300 0.67820
-283.80000 0.46860 0.81260 1.17020 0.95860
-377.40000 0.42260 0.69500 1.06020 0.83300
329.40000 0.17940 0.50300 0.96780 0.98180
-168.60000 0.20860 0.58180 0.98260 0.80580
22.20000 0.49020 0.82820 0.97540 0.98980
509.40000 0.37700 0.52980 0.87860 0.60020
139.80000 0.12340 0.56100 1.17220 0.71700
-263.40000 0.29900 0.71020 1.02380 0.82860
-186.60000 0.12180 0.66420 0.85460 0.86060
259.80000 0.17380 0.53980 0.96740 0.94180
355.80000 0.38980 0.65100 1.19620 0.78460
154.20000 0.39860 0.64580 0.92940 0.98380
-564.60000 0.10300 0.83860 1.00340 0.91860
127.80000 0.35900 0.71940 1.10460 0.99220
-276.60000 0.41180 0.72580 1.17580 0.95820
537.00000 0.43060 0.79340 1.07620 0.87780
-204.60000 0.25620 0.84420 1.16380 0.66380
-154.20000 0.43380 0.88500 0.95980 0.69620
-41.40000 0.26020 0.68260 0.91340 0.63820
-593.40000 0.23780 0.62820 1.00860 0.75860
-27.00000 0.44740 0.85820 0.92100 0.74620
-241.80000 0.26780 0.57540 1.10860 0.82540
-244.20000 0.35260 0.68820 1.17700 0.91380
447.00000 0.48420 0.79540 0.98220 0.87260
568.20000 0.15100 0.77300 0.94940 0.79300
156.60000 0.25860 0.71620 1.16940 0.77140
-35.40000 0.47460 0.85020 0.87380 0.83660
481.80000 0.19300 0.54940 0.83860 0.67460
335.40000 0.33460 0.85700 0.99980 0.61420
586.20000 0.49620 0.53820 0.94420 0.74660
-82.20000 0.38100 0.77020 0.80180 0.72020
117.00000 0.19380 0.57580 0.92580 0.85340
226.20000 0.40260 0.53860 0.90020 0.81700
151.80000 0.24540 0.79580 1.19540 0.71020
-270.60000 0.24980 0.73460 0.81740 0.94260
-311.40000 0.39180 0.50220 0.81100 0.68620
46.20000 0.37100 0.84460 1.19140 0.81540
-232.20000 0.17780 0.64140 0.93740 0.96220
-354.60000 0.15620 0.63060 1.07540 0.83820
88.20000 0.36180 0.51860 0.99700 0.80660
348.60000 0.42500 0.86900 1.11700 0.83940
45.00000 0.20940 0.58420 1.03020 0.98940
369.00000 0.25420 0.73140 0.82060 0.77820
520.20000 0.36020 0.59900 0.82460 0.66780
-370.20000 0.18380 0.51100 0.92420 0.69660
-360.60000 0.32060 0.58900 1.12980 0.87620
-395.40000 0.28340 0.64020 1.05420 0.78140
-213.00000 0.11180 0.75100 0.88260 0.79220
-124.20000 0.29540 0.65700 1.15300 0.65420
-595.80000 0.29620 0.62180 1.05820 0.99460
-66.60000 0.35740 0.62500 0.81140 0.70460
-324.60000 0.44500 0.85740 1.16180 0.91580
-10.20000 0.42860 0.76660 1.02780 0.63380
486.60000 0.40540 0.67980 1.19020 0.69780
-569.40000 0.47900 0.85380 0.93180 0.82420
-150.60000 0.49380 0.87460 1.10020 0.68540
208.20000 0.10180 0.88180 1.11180 0.69580
414.60000 0.23100 0.84980 1.00740 0.81940
142.20000 0.31420 0.63140 1.15580 0.70620
-527.40000 0.47660 0.55940 1.15860 0.71940
41.40000 0.32860 0.70540 1.18220 0.84860
582.60000 0.33060 0.76300 0.96260 0.77540
-226.20000 0.42940 0.55380 0.80820 0.89460
-250.20000 0.48340 0.78500 0.83420 0.99340
-109.80000 0.13740 0.78300 0.87540 0.92220
-333.00000 0.20220 0.51460 0.95100 0.93020
-219.00000 0.37140 0.60540 0.94180 0.87540
-352.20000 0.13860 0.50140 1.16220 0.81180
373.80000 0.33820 0.69740 0.81420 0.91060
562.20000 0.42300 0.79700 1.03420 0.94340
-247.80000 0.19900 0.65620 0.84180 0.92660
243.00000 0.18140 0.60820 1.11100 0.84700
-233.40000 0.10580 0.58140 0.80780 0.63860
172.20000 0.48260 0.59860 1.08460 0.82060
-173.40000 0.15500 0.85260 0.81460 0.60300
-520.20000 0.40140 0.50180 1.03060 0.60340
565.80000 0.34700 0.78220 0.87900 0.96620
-118.20000 0.39940 0.80420 0.82620 0.60220
576.60000 0.19700 0.77140 1.05140 0.96860
183.00000 0.39900 0.77700 1.06460 0.66180
-67.80000 0.27420 0.74460 0.87660 0.75020
227.40000 0.19860 0.67940 0.81860 0.78420
84.60000 0.33940 0.52020 0.98140 0.77980
-126.60000 0.19140 0.72540 1.05660 0.65940
234.60000 0.44100 0.61100 0.86420 0.72500
-444.60000 0.35220 0.78860 1.15660 0.73820
-575.40000 0.26620 0.69060 1.11900 0.69820
-401.40000 0.45100 0.61940 0.95460 0.81020
-556.20000 0.19580 0.89780 0.84820 0.84940
-133.80000 0.47500 0.76340 0.97220 0.77620
-562.20000 0.30980 0.55780 0.98180 0.80220
37.80000 0.29820 0.51980 0.90100 0.97620
-394.20000 0.28540 0.54780 0.89260 0.66020
-149.40000 0.11820 0.68580 0.93380 0.90460
583.80000 0.48300 0.83380 0.88220 0.86540
-466.20000 0.18580 0.78820 1.15980 0.72980
280.20000 0.49980 0.64500 1.16620 0.85300
-523.80000 0.36380 0.88860 1.15500 0.95220
181.80000 0.22300 0.85420 0.94100 0.95420
324.60000 0.41020 0.85980 0.87460 0.66820
-490.20000 0.25300 0.53340 1.07980 0.66300
-193.80000 0.19820 0.74540 1.09700 0.67540
-555.00000 0.16860 0.73300 0.98660 0.67140
360.60000 0.22100 0.85060 0.84460 0.87020
307.80000 0.15580 0.62020 1.04060 0.93300
-95.40000 0.49060 0.64100 1.00580 0.70300
205.80000 0.35380 0.73420 1.02180 0.68300
-327.00000 0.34060 0.62940 0.84020 0.60700
