# Omega_m      Omega_b         h            n_s       sigma_8       M_nu           fR0
1.621861e-01 5.354989e-02 7.430129e-01 8.969600e-01 9.382758e-01 2.699350e-01 -2.026169e-04
3.161307e-01 3.340420e-02 6.501262e-01 1.006175e+00 6.967786e-01 6.152492e-01 -5.416490e-05
4.981941e-01 6.988092e-02 8.232247e-01 9.088726e-01 7.634769e-01 8.797405e-01 -2.964069e-04
2.301168e-01 4.942242e-02 5.832929e-01 1.188013e+00 8.206002e-01 2.548790e-01 -1.478841e-04
2.852493e-01 6.006015e-02 6.379038e-01 1.112276e+00 8.571540e-01 4.977781e-01 -2.407525e-04
4.422941e-01 4.048087e-02 7.559674e-01 9.908513e-01 7.017286e-01 6.348606e-01 -9.338332e-05
3.743878e-01 5.654681e-02 5.204605e-01 1.094501e+00 6.317081e-01 8.683017e-01 -1.845358e-04
1.031615e-01 3.665473e-02 8.852275e-01 8.023761e-01 9.777596e-01 1.877250e-02 -3.709091e-05
1.297541e-01 6.545563e-02 5.386455e-01 9.689471e-01 6.517305e-01 1.392367e-01 -2.497867e-04
3.977822e-01 4.525136e-02 8.549330e-01 1.127918e+00 9.071573e-01 9.956246e-01 -1.030903e-04
4.158105e-01 5.178605e-02 6.216901e-01 8.367192e-01 8.277623e-01 5.155602e-01 -1.560790e-04
2.617198e-01 3.126897e-02 7.850717e-01 1.066396e+00 7.817123e-01 3.698657e-01 -9.307127e-06
2.035722e-01 5.815440e-02 8.429608e-01 1.034320e+00 7.467805e-01 1.201838e-01 -2.117517e-04
4.747501e-01 3.863372e-02 5.514475e-01 8.625532e-01 8.882792e-01 7.671321e-01 -6.378963e-05
3.427599e-01 6.464168e-02 7.220988e-01 1.172404e+00 9.706029e-01 7.512580e-01 -2.680326e-04
1.855682e-01 4.480819e-02 6.839309e-01 9.307185e-01 6.134811e-01 3.816224e-01 -1.199995e-04
1.886938e-01 6.357759e-02 8.665259e-01 1.086390e+00 8.042989e-01 8.067380e-01 -4.255754e-05
3.333851e-01 4.337209e-02 5.265628e-01 8.167265e-01 7.614226e-01 7.844786e-02 -1.951813e-04
4.528753e-01 5.990312e-02 7.996674e-01 1.120181e+00 6.783158e-01 4.347604e-01 -1.363475e-04
2.191978e-01 3.938481e-02 6.067999e-01 9.766855e-01 9.368190e-01 6.998572e-01 -2.889005e-04
2.648450e-01 5.003856e-02 5.645906e-01 9.228303e-01 9.971395e-01 9.499790e-01 -8.177353e-05
4.064361e-01 3.051665e-02 8.293279e-01 1.180291e+00 6.431913e-01 1.826618e-01 -2.333194e-04
3.759078e-01 6.652095e-02 6.938270e-01 8.831839e-01 7.233659e-01 3.222838e-01 -2.555675e-05
1.453793e-01 4.668624e-02 7.119082e-01 1.013688e+00 8.679408e-01 5.647885e-01 -1.770270e-04
1.187859e-01 5.542428e-02 6.651309e-01 1.158445e+00 7.931933e-01 6.765222e-01 -1.096447e-04
3.525126e-01 3.527737e-02 7.284949e-01 9.384392e-01 8.471429e-01 4.583371e-01 -2.616893e-04
4.329189e-01 6.175042e-02 5.952459e-01 1.048094e+00 9.179436e-01 7.009755e-02 -1.593695e-05
2.883737e-01 4.129071e-02 8.115632e-01 8.550385e-01 6.733700e-01 8.153300e-01 -1.679063e-04
2.457416e-01 6.819186e-02 7.662724e-01 8.448311e-01 6.114245e-01 5.719003e-01 -7.034613e-05
4.763185e-01 4.861137e-02 6.280855e-01 1.052047e+00 9.543023e-01 3.154137e-01 -2.236521e-04
3.067552e-01 5.467364e-02 8.987307e-01 9.610443e-01 8.868217e-01 2.057245e-01 -1.266271e-04
1.653109e-01 3.478034e-02 5.072487e-01 1.142085e+00 7.283200e-01 9.271579e-01 -2.798620e-04
1.699426e-01 6.887579e-02 6.125055e-01 1.023639e+00 9.847968e-01 8.384386e-01 -1.342276e-04
3.021312e-01 4.933548e-02 7.805875e-01 8.794880e-01 6.309217e-01 4.694385e-02 -2.816374e-04
4.841304e-01 5.270193e-02 5.458679e-01 1.182040e+00 7.103153e-01 4.659778e-01 -4.044429e-05
2.379495e-01 3.284882e-02 8.606044e-01 9.148381e-01 8.548165e-01 6.688363e-01 -1.879298e-04
2.960987e-01 5.720015e-02 7.183959e-01 9.858868e-01 8.166877e-01 9.194869e-01 -2.239871e-05
4.251863e-01 3.709347e-02 6.755275e-01 1.117248e+00 7.736402e-01 2.134407e-01 -1.708181e-04
3.571549e-01 6.118193e-02 8.478509e-01 8.208492e-01 6.913151e-01 2.922750e-01 -7.860871e-05
1.141238e-01 4.076244e-02 5.578886e-01 1.076035e+00 9.499886e-01 5.950844e-01 -2.270988e-04
1.375312e-01 5.197063e-02 8.175564e-01 1.145390e+00 6.236422e-01 7.076182e-01 -1.323218e-05
3.837605e-01 3.248896e-02 5.760736e-01 9.514826e-01 9.666910e-01 4.269541e-01 -1.612257e-04
4.016698e-01 6.579617e-02 7.475001e-01 1.060431e+00 8.999913e-01 1.016768e-01 -1.069513e-04
2.696280e-01 4.600168e-02 6.593139e-01 8.426924e-01 7.413192e-01 7.834639e-01 -2.550158e-04
2.144941e-01 6.410530e-02 5.140224e-01 8.575811e-01 7.809236e-01 5.415294e-01 -1.252349e-04
4.575744e-01 4.394000e-02 8.803405e-01 1.039284e+00 8.348002e-01 3.455882e-01 -2.718895e-04
3.255018e-01 5.808769e-02 6.463102e-01 9.491839e-01 9.048192e-01 1.748704e-01 -6.894261e-05
1.965603e-01 3.760958e-02 7.596734e-01 1.153931e+00 6.603195e-01 9.578155e-01 -2.156727e-04
1.809351e-01 5.884015e-02 5.891862e-01 8.100028e-01 8.702779e-01 3.620602e-01 -2.932478e-04
3.473763e-01 3.935724e-02 8.039540e-01 1.093119e+00 7.147795e-01 5.233202e-01 -1.416602e-04
4.669488e-01 6.267056e-02 6.692283e-01 9.965241e-01 6.439774e-01 9.723495e-01 -1.994646e-04
2.113689e-01 4.287485e-02 7.372912e-01 1.100347e+00 9.901027e-01 1.624665e-01 -4.795258e-05
2.540025e-01 6.723213e-02 8.919028e-01 1.199514e+00 9.251059e-01 4.049278e-01 -1.824260e-04
4.235446e-01 4.706560e-02 5.019703e-01 9.036020e-01 6.837797e-01 7.279981e-01 -2.983368e-05
3.931353e-01 5.121941e-02 7.742875e-01 1.006349e+00 7.512589e-01 7.749677e-01 -2.386360e-04
1.344056e-01 3.074007e-02 6.314016e-01 8.905181e-01 8.082118e-01 1.123936e-01 -8.611456e-05
1.109989e-01 6.199285e-02 7.908742e-01 9.317107e-01 7.337817e-01 2.317242e-01 -1.546698e-04
3.665305e-01 4.245133e-02 6.027055e-01 1.165169e+00 8.751092e-01 9.028500e-01 -1.331127e-06
4.470619e-01 5.582388e-02 8.741381e-01 8.748726e-01 9.582146e-01 6.075640e-01 -2.483887e-04
2.804739e-01 3.596955e-02 5.326256e-01 1.028256e+00 6.012631e-01 2.775746e-01 -9.512124e-05
2.348251e-01 5.407942e-02 6.905139e-01 1.071276e+00 6.647814e-01 2.648778e-02 -2.653357e-04
4.935056e-01 3.397152e-02 7.038962e-01 8.256074e-01 9.202813e-01 8.606318e-01 -1.133317e-04
3.240063e-01 6.806608e-02 5.698721e-01 1.134751e+00 8.401054e-01 6.580456e-01 -2.090434e-04
1.543181e-01 4.764538e-02 8.361588e-01 9.683830e-01 7.939816e-01 4.746385e-01 -5.711475e-05
1.523922e-01 6.085614e-02 5.539290e-01 1.168166e+00 6.261126e-01 1.262055e-01 -2.702134e-05
3.189066e-01 4.094476e-02 8.391613e-01 9.349490e-01 9.831628e-01 7.591769e-01 -1.755624e-04
4.883995e-01 5.703030e-02 6.872658e-01 1.025001e+00 8.506431e-01 7.442319e-01 -8.323807e-05
2.328928e-01 3.743112e-02 7.192029e-01 8.718649e-01 7.092191e-01 3.905822e-01 -2.318548e-04
2.761979e-01 5.306647e-02 8.519937e-01 8.288510e-01 7.693193e-01 1.457494e-01 -1.389840e-04
4.458621e-01 3.262774e-02 5.419262e-01 1.074272e+00 8.153467e-01 9.871781e-01 -2.862641e-04
3.653369e-01 6.908500e-02 7.814254e-01 9.653727e-01 9.445457e-01 5.080579e-01 -4.519394e-05
1.067293e-01 4.895846e-02 6.243113e-01 1.131500e+00 6.891446e-01 3.793015e-01 -1.925449e-04
1.332128e-01 5.768072e-02 7.527294e-01 1.089929e+00 9.653493e-01 4.907482e-01 -1.298495e-04
3.888664e-01 3.786698e-02 6.408980e-01 8.069561e-01 6.193236e-01 6.438242e-01 -2.766396e-04
4.192694e-01 6.385549e-02 8.826490e-01 1.103404e+00 7.391464e-01 8.743271e-01 -7.356852e-05
2.528034e-01 4.435395e-02 5.241616e-01 9.997312e-01 8.945492e-01 1.081360e-02 -2.204298e-04
2.062636e-01 6.624190e-02 6.538708e-01 9.005574e-01 8.331655e-01 2.624289e-01 -1.798740e-05
4.650174e-01 4.570552e-02 7.404886e-01 1.196320e+00 7.761168e-01 6.246887e-01 -1.658557e-04
3.454511e-01 5.225982e-02 5.861338e-01 8.937198e-01 6.592209e-01 8.862570e-01 -1.116952e-04
